PLAYER,POS,TEAM,AGE,AVERAGE SALARY,TEAM AAV %,CASH EARNINGS,% OF TEAM PAYROLL,GTD EARNINGS,TEAM GTD %,CAP FIGURE,% OF TEAM CAP,Year
Aubrayo Franklin,DT,SF,30,7003000,0.05,7003000,0.06,-,-,7003000,-,2010
A.J. Hawk,OLB,GB,26,6250000,0.04,500000,0.01,-,-,6995000,-,2010
Chad Johnson,WR,CIN,32,5891667,0.06,-,-,-,-,6950000,-,2010
Kellen Winslow,TE,TB,27,6016667,0.08,6875000,0.09,-,-,6875000,-,2010
Devin Hester,WR,CHI,27,5489006,0.05,8499999,0.1,-,-,6833333,-,2010
LaRon Landry,S,WAS,25,8300000,0.06,4904500,0.04,-,-,6797833,-,2010
Joe Staley,LT,SF,26,7441667,0.06,5925000,0.05,-,-,6775000,-,2010
Matt Hasselbeck,QB,SEA,34,8000000,0.07,6750000,0.08,-,-,6750000,-,2010
Chester Taylor,RB,CHI,30,3125000,0.03,8245000,0.1,-,-,6745000,-,2010
Jonathan Vilma,ILB,NO,28,6800000,0.05,7830000,0.08,-,-,6682500,-,2010
Aaron Smith,DE,PIT,34,4900000,0.04,-,-,-,-,6600000,-,2010
Chris Kelsay,DE,BUF,30,7050000,0.06,6180000,0.06,-,-,6580000,-,2010
D'Brickashaw Ferguson,LT,NYJ,26,10000000,0.08,5322500,0.05,-,-,6566666,-,2010
Kris Dielman,G,SD,29,6500000,0.06,-,-,-,-,6540000,-,2010
Ike Taylor,CB,PIT,30,4750000,0.04,3750000,0.05,-,-,6530000,-,2010
Antoine Winfield,CB,MIN,33,7200000,0.05,-,-,-,-,6500000,-,2010
Aaron Rodgers,QB,GB,26,10586667,0.08,6500000,0.07,-,-,6500000,-,2010
Tony Gonzalez,TE,ATL,34,6250000,0.05,6500000,0.07,-,-,6500000,-,2010
Marcus Stroud,DT,BUF,32,6500000,0.06,-,-,-,-,6491666,-,2010
Chris Canty,DE,NYG,27,7000000,0.05,4750000,0.04,-,-,6450000,-,2010
Max Starks,LT,PIT,28,6575000,0.05,4420000,0.06,-,-,6420000,-,2010
Dunta Robinson,CB,ATL,28,9500000,0.08,12000000,0.13,-,-,6400000,-,2010
Maurice Jones-Drew,RB,JAC,25,6220000,0.06,4600000,0.07,-,-,6400000,-,2010
Antonio Smith,DE,HOU,28,7100000,0.06,3900000,0.04,-,-,6400000,-,2010
Michael Vick,QB,PHI,30,3437500,0.03,5650000,0.07,-,-,6400000,-,2010
James Harrison,OLB,PIT,32,8625000,0.07,7555000,0.09,-,-,6355000,-,2010
Frank Gore,RB,SF,27,7003000,0.05,4221875,0.04,-,-,6354875,-,2010
Knowshon Moreno,RB,DEN,23,3415000,0.03,8449000,0.1,-,-,6253800,-,2010
Chris Gamble,CB,CAR,27,8791667,0.11,-,-,-,-,6250000,-,2010
Jake Delhomme,QB,CLE,35,6250000,0.07,7000000,0.09,-,-,6250000,-,2010
Domonique Foxworth,CB,BAL,27,6800000,0.06,9200000,0.07,-,-,6200000,-,2010
Michael Roos,LT,TEN,27,7166667,0.07,4667000,0.09,-,-,6167000,-,2010
Travelle Wharton,G,CAR,29,5833333,0.07,4150000,0.06,-,-,6150000,-,2010
Larry English,OLB,SD,24,2710000,0.02,9307500,0.11,-,-,6147500,-,2010
Willis McGahee,RB,BAL,28,5731429,0.05,3600000,0.03,-,-,6100000,-,2010
Justin Smith,DE,SF,30,7500000,0.06,3125000,0.03,-,-,6075000,-,2010
Antrel Rolle,SS,NYG,27,7420000,0.06,10000000,0.09,-,-,6000000,-,2010
Antonio Gates,TE,SD,30,7235000,0.06,8385294,0.1,-,-,5987500,-,2010
Ty Warren,DT,NE,29,6125000,0.06,250000,0,-,-,5983332,-,2010
Todd Heap,TE,BAL,30,4285714,0.04,4000000,0.03,-,-,5967500,-,2010
Pat Williams,DT,MIN,37,7333333,0.05,-,-,-,-,5937500,-,2010
